"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"43","180918_3","4","distribution_kids_simple",3,"Pig","training","1","c(6, 0, 0)","vehicles","fruits","mammals","train","apple","cat","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA
"44","180918_3","4","distribution_kids_simple",3,"Pig","training","2","c(6, 0, 0)","vehicles","fruits","mammals","horse","motorbike","banana","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA
"45","180918_3","4","distribution_kids_simple",3,"Pig","training","3","c(6, 0, 0)","vehicles","fruits","mammals","monkey","car","melon","car","car","item_m","vehicles",1,NA,NA,NA,NA,NA
"46","180918_3","4","distribution_kids_simple",3,"Pig","training","4","c(6, 0, 0)","vehicles","fruits","mammals","truck","strawberry","dog","truck","truck","item_l","vehicles",1,NA,NA,NA,NA,NA
"47","180918_3","4","distribution_kids_simple",3,"Pig","training","5","c(6, 0, 0)","vehicles","fruits","mammals","cow","bus","cherry","bus","bus","item_m","vehicles",1,NA,NA,NA,NA,NA
"48","180918_3","4","distribution_kids_simple",3,"Pig","training","6","c(6, 0, 0)","vehicles","fruits","mammals","airplane","elephant","pineapple","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA
"49","180918_3","4","distribution_kids_simple",3,"Pig","test","choice","c(6, 0, 0)","vehicles","fruits","mammals","bear","boat","orange",NA,"bear","item_l","mammals",NA,0,0,1,"vehicles",0
"50","180918_3","4","distribution_kids_simple",4,"Frog","training","1","c(6, 0, 0)","fruits","mammals","clothes","melon","cow","dress","melon","melon","item_l","fruits",1,NA,NA,NA,NA,NA
"51","180918_3","4","distribution_kids_simple",4,"Frog","training","2","c(6, 0, 0)","fruits","mammals","clothes","cherry","elephant","shoe","cherry","cherry","item_l","fruits",1,NA,NA,NA,NA,NA
"52","180918_3","4","distribution_kids_simple",4,"Frog","training","3","c(6, 0, 0)","fruits","mammals","clothes","hat","banana","bear","banana","banana","item_m","fruits",1,NA,NA,NA,NA,NA
"53","180918_3","4","distribution_kids_simple",4,"Frog","training","4","c(6, 0, 0)","fruits","mammals","clothes","monkey","shirt","orange","orange","orange","item_r","fruits",1,NA,NA,NA,NA,NA
