id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_31_speaker_change,4,4.128538812785388,F,speaker_change,2,different_speaker,Sheep,vehicles,fruits,0
part_31_speaker_change,4,4.128538812785388,F,speaker_change,3,different_speaker,Frog,clothes,mammals,0
part_31_speaker_change,4,4.128538812785388,F,speaker_change,4,same_speaker,Bear,fruits,fruits,1
part_32_speaker_change,4,4.629908675799086,M,speaker_change,1,different_speaker,Sheep,mammals,mammals,1
part_32_speaker_change,4,4.629908675799086,M,speaker_change,2,same_speaker,Elephant,fruits,fruits,1
part_32_speaker_change,4,4.629908675799086,M,speaker_change,3,different_speaker,Frog,clothes,vehicles,0
part_32_speaker_change,4,4.629908675799086,M,speaker_change,4,same_speaker,Bear,vehicles,vehicles,1
part_33_speaker_change,3,3.794292237442922,M,speaker_change,1,different_speaker,Elephant,clothes,vehicles,0
part_33_speaker_change,3,3.794292237442922,M,speaker_change,2,same_speaker,Cat,vehicles,vehicles,1
part_33_speaker_change,3,3.794292237442922,M,speaker_change,3,different_speaker,Sheep,fruits,mammals,0
part_33_speaker_change,3,3.794292237442922,M,speaker_change,4,same_speaker,Bear,mammals,vehicles,0
part_34_speaker_change,4,4.062785388127854,M,speaker_change,1,different_speaker,Cat,mammals,vehicles,0
part_34_speaker_change,4,4.062785388127854,M,speaker_change,2,same_speaker,Frog,fruits,vehicles,0
part_34_speaker_change,4,4.062785388127854,M,speaker_change,3,different_speaker,Bear,vehicles,clothes,0
part_34_speaker_change,4,4.062785388127854,M,speaker_change,4,same_speaker,Tiger,clothes,mammals,0
part_35_speaker_change,4,4.169634703196347,M,speaker_change,1,same_speaker,Bear,clothes,vehicles,0
part_35_speaker_change,4,4.169634703196347,M,speaker_change,2,different_speaker,Sheep,vehicles,vehicles,1
part_35_speaker_change,4,4.169634703196347,M,speaker_change,3,different_speaker,Frog,mammals,mammals,1
part_35_speaker_change,4,4.169634703196347,M,speaker_change,4,same_speaker,Mouse,fruits,fruits,1
part_36_speaker_change,3,3.662785388127854,F,speaker_change,1,same_speaker,Cat,mammals,mammals,1
part_36_speaker_change,3,3.662785388127854,F,speaker_change,2,different_speaker,Bear,fruits,vehicles,0
part_36_speaker_change,3,3.662785388127854,F,speaker_change,3,same_speaker,Sheep,vehicles,vehicles,1
part_36_speaker_change,3,3.662785388127854,F,speaker_change,4,different_speaker,Tiger,clothes,fruits,0
part_37_speaker_change,3,3.9312785388127853,M,speaker_change,1,different_speaker,Sheep,vehicles,vehicles,1
part_37_speaker_change,3,3.9312785388127853,M,speaker_change,2,same_speaker,Elephant,clothes,fruits,0
part_37_speaker_change,3,3.9312785388127853,M,speaker_change,3,same_speaker,Cat,mammals,vehicles,0
part_37_speaker_change,3,3.9312785388127853,M,speaker_change,4,different_speaker,Frog,fruits,clothes,0
part_38_speaker_change,3,3.9778538812785387,M,speaker_change,1,different_speaker,Bear,mammals,clothes,0
part_38_speaker_change,3,3.9778538812785387,M,speaker_change,2,same_speaker,Mouse,vehicles,clothes,0
part_38_speaker_change,3,3.9778538812785387,M,speaker_change,3,same_speaker,Elephant,clothes,fruits,0
part_38_speaker_change,3,3.9778538812785387,M,speaker_change,4,different_speaker,Frog,fruits,vehicles,0
part_39_speaker_change,4,4.421689497716895,M,speaker_change,1,different_speaker,Elephant,vehicles,fruits,0
part_39_speaker_change,4,4.421689497716895,M,speaker_change,2,same_speaker,Bear,clothes,mammals,0
part_39_speaker_change,4,4.421689497716895,M,speaker_change,3,different_speaker,Tiger,fruits,mammals,0
part_39_speaker_change,4,4.421689497716895,M,speaker_change,4,same_speaker,Frog,mammals,mammals,1
part_40_speaker_change,3,3.569634703196347,M,speaker_change,1,same_speaker,Bear,vehicles,vehicles,1
part_40_speaker_change,3,3.569634703196347,M,speaker_change,2,same_speaker,Frog,fruits,fruits,1
part_40_speaker_change,3,3.569634703196347,M,speaker_change,3,different_speaker,Cat,clothes,clothes,1
part_40_speaker_change,3,3.569634703196347,M,speaker_change,4,different_speaker,Mouse,mammals,mammals,1
part_41_speaker_change,3,3.6052511415525115,M,speaker_change,1,same_speaker,Bear,clothes,mammals,0
part_41_speaker_change,3,3.6052511415525115,M,speaker_change,2,same_speaker,Elephant,mammals,fruits,0
part_41_speaker_change,3,3.6052511415525115,M,speaker_change,3,different_speaker,Frog,fruits,fruits,1
part_41_speaker_change,3,3.6052511415525115,M,speaker_change,4,different_speaker,Cat,vehicles,mammals,0
part_42_speaker_change,4,4.128538812785388,M,speaker_change,1,different_speaker,Mouse,clothes,clothes,1
part_42_speaker_change,4,4.128538812785388,M,speaker_change,2,same_speaker,Sheep,mammals,vehicles,0
part_42_speaker_change,4,4.128538812785388,M,speaker_change,3,different_speaker,Frog,fruits,clothes,0
part_42_speaker_change,4,4.128538812785388,M,speaker_change,4,same_speaker,Tiger,vehicles,clothes,0
part_43_speaker_change,3,3.3641552511415527,F,speaker_change,1,same_speaker,Mouse,clothes,vehicles,0
part_43_speaker_change,3,3.3641552511415527,F,speaker_change,2,different_speaker,Tiger,mammals,mammals,1
part_43_speaker_change,3,3.3641552511415527,F,speaker_change,3,different_speaker,Cat,vehicles,fruits,0
part_43_speaker_change,3,3.3641552511415527,F,speaker_change,4,same_speaker,Sheep,fruits,clothes,0
part_44_speaker_change,4,4.202511415525114,F,speaker_change,1,different_speaker,Frog,fruits,fruits,1
part_44_speaker_change,4,4.202511415525114,F,speaker_change,2,same_speaker,Sheep,vehicles,clothes,0
part_44_speaker_change,4,4.202511415525114,F,speaker_change,3,same_speaker,Elephant,clothes,fruits,0
part_44_speaker_change,4,4.202511415525114,F,speaker_change,4,different_speaker,Tiger,mammals,fruits,0
part_45_speaker_change,4,4.128538812785388,M,speaker_change,1,same_speaker,Cat,mammals,clothes,0
part_45_speaker_change,4,4.128538812785388,M,speaker_change,2,different_speaker,Tiger,fruits,vehicles,0
part_45_speaker_change,4,4.128538812785388,M,speaker_change,3,same_speaker,Frog,clothes,mammals,0
part_45_speaker_change,4,4.128538812785388,M,speaker_change,4,different_speaker,Mouse,vehicles,mammals,0
part_46_speaker_change,4,4.399771689497717,M,speaker_change,1,same_speaker,Cat,vehicles,vehicles,1
part_46_speaker_change,4,4.399771689497717,M,speaker_change,2,different_speaker,Elephant,fruits,mammals,0
part_46_speaker_change,4,4.399771689497717,M,speaker_change,3,same_speaker,Sheep,clothes,clothes,1
part_46_speaker_change,4,4.399771689497717,M,speaker_change,4,different_speaker,Tiger,mammals,fruits,0
part_47_speaker_change,4,4.150456621004566,M,speaker_change,1,different_speaker,Sheep,mammals,fruits,0
part_47_speaker_change,4,4.150456621004566,M,speaker_change,2,same_speaker,Frog,fruits,fruits,1
part_47_speaker_change,4,4.150456621004566,M,speaker_change,3,same_speaker,Bear,vehicles,vehicles,1
part_47_speaker_change,4,4.150456621004566,M,speaker_change,4,different_speaker,Cat,clothes,mammals,0
part_48_speaker_change,4,4.235388127853882,F,speaker_change,1,same_speaker,Elephant,clothes,vehicles,0
part_48_speaker_change,4,4.235388127853882,F,speaker_change,2,same_speaker,Frog,mammals,fruits,0
part_48_speaker_change,4,4.235388127853882,F,speaker_change,3,different_speaker,Cat,vehicles,fruits,0
