id,experiment,trial,speaker,target_category,correct
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,1,Bunny,mammals,1
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,2,Bear,fruits,1
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,3,Pig,clothes,1
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,4,Frog,instruments,1
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,5,Monkey,furniture,1
2a52939c3a5c0dc8c142470f8f44194c,adult_simple_inference,6,Mouse,vehicles,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,1,Bear,fruits,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,2,Cat,clothes,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,3,Monkey,vehicles,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,4,Bunny,instruments,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,5,Dog,mammals,1
e0ad4d06a4d422c3a437d7c37822db33,adult_simple_inference,6,Pig,furniture,1
